代码,名称,今开,昨收,最新价,最高,最低,成交量,成交额,涨跌幅,涨跌额,振幅
002415,海康威视,34.75,34.81,36.29,36.84,34.57,117530949,4226180593.81,4.25,1.48,6.52
603019,中科曙光,90.98,90.42,92.96,93.38,90.05,63818423,5884603550.0,2.81,2.54,3.68
688256,寒武纪,1475.0,1416.63,1699.96,1699.96,1475.0,17884265,28465682091.0,20.0,283.33,15.88
300474,景嘉微,61.9,61.72,65.98,66.78,61.73,20739379,1333616616.18,6.9,4.26,8.18
000977,浪潮信息,69.5,72.28,69.75,70.5,66.15,119991057,8195854087.34,-3.5,-2.53,6.02
000938,紫光股份,32.66,32.42,31.99,32.76,30.74,210809542,6695067933.82,-1.33,-0.43,6.23
002230,科大讯飞,47.98,48.06,47.79,48.41,47.69,38018174,1821756992.7,-0.56,-0.27,1.5
000066,中国长城,19.0,18.02,19.82,19.82,18.39,431571802,8321457421.8,9.99,1.8,7.94
300308,中际旭创,863.66,845.0,857.5,874.65,845.0,21270964,18256407622.3,1.48,12.5,3.51
300502,新易盛,549.0,537.0,525.79,549.0,518.0,30209791,15997132239.7,-2.09,-11.21,5.77
688498,源杰科技,1535.0,1515.0,1571.0,1610.31,1497.48,2796088,4345957104.0,3.7,56.0,7.45
688195,腾景科技,331.23,323.76,332.0,338.23,320.07,7455886,2466391084.0,2.55,8.24,5.61
002281,光迅科技,135.52,132.87,144.28,146.16,135.01,80211514,11326790011.0,8.59,11.41,8.39
688048,长光华芯,372.0,351.2,352.03,379.89,344.06,15467830,5526279212.0,0.24,0.83,10.2
688313,仕佳光子,135.0,131.16,131.82,135.9,130.5,28785862,3829656794.0,0.5,0.66,4.12
688205,德科立,243.0,234.8,240.96,255.8,236.66,14560935,3572216221.0,2.62,6.16,8.15
300394,天孚通信,312.87,311.09,307.5,314.9,305.0,23598894,7267276034.32,-1.15,-3.59,3.18
300570,太辰光,140.71,138.27,135.92,144.52,135.6,18777896,2606344914.12,-1.7,-2.35,6.45
603083,剑桥科技,179.0,170.71,174.97,187.5,174.78,38589985,6927215716.0,2.5,4.26,7.45
300548,长芯博创,254.5,247.5,256.69,263.22,250.5,20600563,5298647854.83,3.71,9.19,5.14
301205,联特科技,245.62,238.92,235.4,245.62,229.18,7232276,1693044210.04,-1.47,-3.52,6.88
000988,华工科技,119.11,119.04,119.53,120.97,115.0,92020793,10868659755.35,0.41,0.49,5.02
600498,烽火通信,49.2,51.5,46.68,49.97,46.35,152136358,7186418415.0,-9.36,-4.82,7.03
601869,长飞光纤,359.1,370.52,353.9,365.0,336.99,20776927,7244593592.0,-4.49,-16.62,7.56
600487,亨通光电,67.7,67.38,65.7,68.0,63.3,160934768,10576815341.0,-2.49,-1.68,6.98
600522,中天科技,34.3,34.28,33.12,34.35,32.51,212348781,7032576728.0,-3.38,-1.16,5.37
002491,通鼎互联,16.95,16.57,15.8,16.98,15.27,143822917,2270495681.66,-4.65,-0.77,10.32
600105,永鼎股份,43.84,43.32,42.41,44.22,41.8,120223081,5109090937.0,-2.1,-0.91,5.59
002463,沪电股份,103.62,101.98,102.57,105.66,102.2,47325267,4895757285.96,0.58,0.59,3.39
002916,深南电路,318.68,314.51,312.5,322.75,308.21,10249714,3227124990.48,-0.64,-2.01,4.62
600183,生益科技,79.0,78.0,76.51,80.45,76.32,46891324,3635144425.0,-1.91,-1.49,5.29
002938,鹏鼎控股,72.82,72.82,72.05,74.28,71.54,36879118,2680028568.58,-1.06,-0.77,3.76
300476,胜宏科技,333.0,333.87,328.49,336.86,326.06,32353363,10673059356.74,-1.61,-5.38,3.23
002436,兴森科技,27.47,27.46,27.71,27.99,26.28,138242210,3754869406.06,0.91,0.25,6.23
002815,崇达技术,14.35,14.26,13.9,14.4,13.74,37394707,520648375.9,-2.52,-0.36,4.63
603228,景旺电子,73.54,72.85,70.17,73.78,69.75,35267373,2496113200.0,-3.68,-2.68,5.53
603920,世运电路,54.9,54.71,52.65,54.9,51.69,36695597,1929705903.0,-3.77,-2.06,5.87
